Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Stage,Amount,Investment_year,Headquarter_City,Category,Categorised_stage
Virtual MetalStreet(MetalStreet),,"Bengaluru, Karnataka, India","B2B, Marketplace",Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,,,Angel,0.7,2018,Bengaluru,E-commerce & Retail,Other
Veritas Finance,,"Guindy, Tamil Nadu, India",Financial Services,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,,,Venture - Series Unknown,30.0,2018,Guindy,Other,Other
GoZefo,,"Bangalore, Karnataka, India","Computer, Furniture, Software",Startup working on a white space in the eCommerce industry.,,,Venture - Series Unknown,1.325924990529107,2018,Bangalore,Technology & Software,Other
Zomato,,"Gurgaon, Haryana, India","Food Delivery, Hospitality, Reservations, Restaurants, Search Engine",Zomato is a search app offering detailed information for restaurants as well as online food delivery.,,,Secondary Market,210.0,2018,Gurgaon,Technology & Software,Other
Innov8 Coworking,,"New Delhi, Delhi, India","Collaboration, Communities, Coworking, Real Estate",Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,,,Seed,4.0,2018,New Delhi,Technology & Software,Seed
Lavelle Networks,,"Bengaluru, Karnataka, India","Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,,,Venture - Series Unknown,0.12627857052658165,2018,Bengaluru,Technology & Software,Other
Blackbuck,,"Bengaluru, Karnataka, India","Information Services, Internet, Logistics, Supply Chain Management, Transportation",Blackbuck is a logistics startup based in India.,,,Series D,12.814749337037506,2018,Bengaluru,Technology & Software,Series D
Cardekho,,"Gurgaon, Haryana, India","Automotive, E-Commerce, Information Services",Cardekho is a car search venture that helps users buy cars that are right for them.,,,Series C,75.0,2018,Gurgaon,Technology & Software,Series C
ElasticRun,,"Pune, Maharashtra, India","Delivery, Logistics, Transportation",ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,,,Series B,3.7883571157974494,2018,Pune,Other,Series B
Droom Technology Private Limited,,"Gurgaon, Haryana, India","Automotive, E-Commerce Platforms, Marketplace",Droom is a marketplace for automobiles and automobile services.,,,Series E,30.0,2018,Gurgaon,E-commerce & Retail,Series E
Vogo Rentals,,"Kormangala, Karnataka, India","Last Mile Transportation, Railroad, Transportation, Travel",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,,,Debt Financing,0.5051142821063266,2018,Kormangala,Other,Other
InnerChef,,"Gurgaon, Haryana, India","Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,,,Venture - Series Unknown,1.76,2018,Gurgaon,E-commerce & Retail,Other
LivQuik,,"Mumbai, Maharashtra, India","FinTech, Mobile, Mobile Payments, Payments, Retail Technology",LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,,,Corporate Round,2.7,2018,Mumbai,Finance & FinTech,Other
Disprz,,"Chennai, Tamil Nadu, India","E-Learning, Education","Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",,,Debt Financing,0.4,2018,Chennai,Education,Other
9stacks,,"Delhi, Delhi, India","Online Games, Software",Online gaming startup.,,,Series A,1.767899987372143,2018,Delhi,Other,Series A
Origo,,"Gurgaon, Haryana, India",—,"Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",,,Venture - Series Unknown,5.051142821063266,2018,Gurgaon,Other,Other
YourOwnROOM,,"Bangalore, Karnataka, India","Online Portals, Property Management, Rental","Good quality, strategically located homes closer to work for millennials",,,Seed,0.75,2018,Bangalore,Other,Seed
Vahdam Teas,,"New Delhi, Delhi, India","E-Commerce, Food and Beverage, Tea",Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,,,Series B,2.5,2018,New Delhi,E-commerce & Retail,Series B
PharmEasy,,"Mumbai, Maharashtra, India","Health Care, Pharmaceutical, Wellness",PharmEasy - Indias largest healthcare delivery platform,,,Series C,80.0,2018,Mumbai,Healthcare & HealthTech,Series C
Licious,,"Bengaluru, Karnataka, India","Delivery Service, Food and Beverage, Food Delivery","Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",,,Series C,25.0,2018,Bengaluru,E-commerce & Retail,Series C
Stanza Living,,"New Delhi, Delhi, India","Hospitality, Information Technology, Travel Accommodations",Stanza Living is a co-living platform created for students moving to a new place.,,,Venture - Series Unknown,4.60916782422023,2018,New Delhi,Technology & Software,Other
Bounce (Metro Bikes),,"Bangalore, Karnataka, India","Autonomous Vehicles, Last Mile Transportation, Recreational Vehicles, Rental","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",,,Debt Financing,3.0,2018,Bangalore,Other,Other
Goals101,,"Delhi, Delhi, India",Financial Services,Goals101 is a one of the fastest growing big-data platforms.,,,Seed,3.5,2018,Delhi,Other,Seed
